Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.6070506850754133e-13,4.550499371253574e-12,6.494719745174221e-13,2.7851088438868644e-12,0.0,,2.1235107948141927e-11,0.0,,3.6070506850754133e-13,4.550499371253574e-12,6.494719745174221e-13,2.7851088438868644e-12,0.0,,2.1235107948141927e-11,0.0
2010,,3.320463853368432e-13,4.5795751029748466e-12,5.565141781748263e-13,2.8700150000667798e-12,0.0,,2.1015948577356047e-11,0.0,,3.3001902978068256e-13,4.534992583480537e-12,5.580502810695415e-13,2.884999646587024e-12,0.0,,2.068132062910963e-11,0.0
2020,,2.872409381056556e-13,4.607964851439392e-12,5.29677900866709e-13,3.0974845584075934e-12,0.0,,2.0590029344813238e-11,0.0,,2.4234576887359515e-13,4.462973761597982e-12,5.314832748987983e-13,2.996212032688603e-12,0.0,,2.0101768061556762e-11,0.0
2030,,2.5844734601590453e-13,4.665544718239868e-12,5.385726376656641e-13,3.9668073539749476e-12,0.0,,2.350974095534321e-11,0.0,,1.8947223840387107e-13,4.41897293168233e-12,4.982046341129763e-13,3.284258723565162e-12,0.0,,1.8215200391795626e-11,0.0
2040,,2.0366704955528914e-13,4.734072393356806e-12,4.4573461083723994e-13,2.731237290204245e-12,0.0,,1.7365909383904705e-11,0.0,,1.415723493823334e-13,4.398311008331617e-12,5.46621796648099e-13,3.164496947311529e-12,0.0,,1.523091551870369e-11,0.0
2050,,1.4817797662281643e-13,4.793185377224924e-12,2.879850188286177e-13,1.2598944614856061e-12,0.0,,8.311907391323597e-12,0.0,,9.584247326753544e-14,4.376078624047889e-12,5.436568283099105e-13,2.7430209618857638e-12,0.0,,7.870085727893527e-12,0.0
2060,,1.1526997790621932e-13,4.8328196663416035e-12,2.4126077819043867e-13,1.2900547633510122e-12,0.0,,6.874476745431159e-12,0.0,,9.377334767276836e-14,4.33498960633773e-12,5.628274782259185e-13,2.3463281822506067e-12,0.0,,7.112722532166447e-12,0.0
2070,,9.501748083626334e-14,4.8703573160978365e-12,2.27775773831488e-13,1.332899783811785e-12,0.0,,5.764355995896758e-12,0.0,,9.252583968360198e-14,4.278777332444862e-12,5.591093244948874e-13,1.8763319181209163e-12,0.0,,6.4431517360520905e-12,0.0
2080,,7.918751407965167e-14,4.930504489534955e-12,2.422909936656567e-13,1.3793988678562581e-12,0.0,,4.843814911460027e-12,0.0,,8.91200518264789e-14,4.2026967764482745e-12,5.259526820800671e-13,1.3694359619351255e-12,0.0,,5.596724430702261e-12,0.0
2090,,6.660972278799642e-14,5.023355468965335e-12,2.708029087168115e-13,1.4297083718937325e-12,0.0,,4.022834590697047e-12,0.0,,8.632325704417981e-14,4.108208722703404e-12,4.821932415644665e-13,8.097331727688928e-13,0.0,,5.0499345446060795e-12,0.0
2100,,5.5709014842275306e-14,5.085653110758028e-12,2.9548537438410733e-13,1.4844561606877554e-12,0.0,,3.3061869740263865e-12,0.0,,8.424124192831245e-14,3.991970390612469e-12,4.038279811556901e-13,2.8269732935042584e-13,0.0,,3.724787818249593e-12,0.0
