Year,rcp45_ndvi,rcp85_ndvi
1982,0.11246991271763776,0.11246991271763776
1983,0.11253317246120488,0.11253317246120488
1984,0.10354534882865972,0.10354534882865972
1985,0.10774017897964258,0.10774017897964258
1986,0.10037014208616744,0.10037014208616744
1987,0.11133321126302084,0.11133321126302084
1988,0.10151813358252053,0.10151813358252053
1989,0.08027994624561516,0.08027994624561516
1990,0.1105711700000802,0.1105711700000802
1991,0.10818700770822637,0.10818700770822637
1992,0.11097196125967873,0.11097196125967873
1993,0.1093668118476215,0.1093668118476215
1994,0.11453216782503955,0.11453216782503955
1995,0.12408053524113942,0.12408053524113942
1996,0.1154740037859343,0.1154740037859343
1997,0.11876885781624315,0.11876885781624315
1998,0.12451942647507055,0.12451942647507055
1999,0.12524306488559314,0.12524306488559314
2000,0.12101728894953692,0.12101728894953692
2001,0.10858149074839044,0.10858149074839044
2002,0.11456669592677855,0.11456669592677855
2003,0.10600448911276524,0.10600448911276524
2004,0.11836576886082413,0.11836576886082413
2005,0.11383871278234088,0.11383871278234088
2006,0.1048601425975092,0.1048601425975092
2007,0.1036688708671554,0.1036688708671554
2008,0.0923257001371599,0.0923257001371599
2009,0.10553795242048468,0.10553795242048468
2010,0.09357421582565986,0.09357421582565986
2011,0.0816620468358974,0.0816620468358974
2012,0.09636704420733336,0.09636704420733336
2013,0.10062015227958164,0.10062015227958164
2014,0.0864870043995444,0.0864870043995444
2015,0.1018367822165362,0.1018367822165362
2016,0.09212081877847472,0.09212081877847472
2017,0.09925448543645192,0.09925448543645192
2018,0.07996305221568062,0.07996305221568062
2019,0.08392573888774263,0.08392573888774263
2020,0.08354371882111979,0.08354371882111979
2021,0.08669281987481041,0.0851443096600847
2022,0.08454199234841077,0.08409634641783605
2023,0.08459763043547343,0.08093092136283346
2024,0.08346692372938308,0.08131815224273121
2025,0.084454463916925,0.0828376808031457
2026,0.08030374144851361,0.08140448445077482
2027,0.08107611455464847,0.08335326198707023
2028,0.08000591215698599,0.08015287504547347
2029,0.07935093702012723,0.08022720577351146
2030,0.07831219359075474,0.0789586489133446
2031,0.07927148878464106,0.07931381303587222
2032,0.07729971632307374,0.07750867018236131
2033,0.0799344887834031,0.07908089984241153
2034,0.07708826530585149,0.07854368003125924
2035,0.07693747801303845,0.07480156415613835
2036,0.07624443828678798,0.07643527180796658
2037,0.07832265603160284,0.07332166114574078
2038,0.07475162072115328,0.0727760626399404
2039,0.07228813180299236,0.07517253384116086
2040,0.07302986637045476,0.0710130736969538
2041,0.07351781730138714,0.07447218799496456
2042,0.071797242554743,0.07296328925823241
2043,0.07124371904332226,0.07231416714026608
2044,0.0705368005222088,0.07208554704239174
2045,0.06852529082983409,0.07014454785006245
2046,0.06907375299826644,0.07044591689224365
2047,0.06466644146828991,0.06990868127675658
2048,0.06543937588603567,0.06757815765114568
2049,0.06633206447604258,0.07000886683589568
2050,0.06691593299048974,0.06711667432815295
2051,0.06778178088310345,0.06579719107171335
2052,0.06645548504246143,0.06812606048179437
2053,0.06852331306059667,0.0672359075293003
2054,0.06489293145571222,0.06480139824511409
2055,0.06336227001559565,0.06652613268239697
2056,0.06349751748748153,0.06706380085503012
2057,0.061919817406382624,0.06743116141814985
2058,0.05981057623731436,0.06713385372448648
2059,0.061427952941095,0.06272657913921463
2060,0.061489100283092686,0.06520250592943709
2061,0.059796336015440564,0.06284668888385729
2062,0.05687610098461556,0.06120328345000324
2063,0.057474896540214995,0.06558165690514846
2064,0.05508526671149451,0.061856689797967636
2065,0.056306962213609486,0.06220377862685057
2066,0.05357654375830485,0.06031251703461741
2067,0.05435308853774536,0.06378883999281677
2068,0.051183225946158914,0.06090004539951925
2069,0.055194018602266984,0.060435337202431286
2070,0.05363555531207255,0.06168367524054232
2071,0.051459574723182536,0.05809889123745261
2072,0.05080703335766047,0.05965234779904745
2073,0.04974370544879948,0.05795482306381046
2074,0.04991388322365685,0.055296983319210034
2075,0.04596983350691505,0.05418336152556533
2076,0.04735069217393492,0.057350064089678736
2077,0.04929201749676618,0.05705761668556994
2078,0.04694486439013743,0.056347665322911376
2079,0.04314924953650298,0.05739327678797601
2080,0.04914862242021417,0.0548737916282247
2081,0.04770210826761223,0.05745846299742838
2082,0.04272198087752094,0.05480291170844096
2083,0.044142263658931896,0.05639475582254265
2084,0.04147651103286951,0.053078499041704835
2085,0.03834618000960621,0.051031376774829
2086,0.03908724338952402,0.0507030002858779
2087,0.037353944818446255,0.05125551630820652
2088,0.038732671342649766,0.05039124735003822
2089,0.041547331649350594,0.050521830732133816
2090,0.035511333422371366,0.047987101234600336
2091,0.03463844031626845,0.04951238625758367
2092,0.036019699338826094,0.04739124869820417
2093,0.03327256880337892,0.04769631938470281
2094,0.03110592702315257,0.045973697526714964
2095,0.03266572286918126,0.04656652760302521
2096,0.02911978357911216,0.047000986744764134
2097,0.02878357872765977,0.045290190456190434
2098,0.03263607499042725,0.0455262933612629
2099,0.03095144811130018,0.04682622439740744
